Nome,Endereço,Cidade,Estado,CEP,Telefone,Site,Atividades
BORELLI E MERIGO – ARQUITETURA E URBANISMO SC LTDA,"RUA HEITOR PENTEADO, 47, CASA 05 SUMARE",SAO PAULO,SP,05437-000,11 3872-5911,,arquitetura;paisagismo;planejamento
BOTTI RUBIN – ARQUITETOS ASSOCIADOS SS,"RUA HUNGRIA, 888, 6 E 7 AND JD EUROPA",SAO PAULO,SP,01455-905,11 3035-1717,WWW.BOTTIRUBIN.COM.BR,arquitetura;estudos e projetos
BOURSCHEID ENGENHARIA E MEIO AMBIENTE SA,"RUA MIGUEL TOSTES, 962, RIO BRANCO",PORTO ALEGRE,RS,90430-060,51 3341-5152,,engenharia;estudos e projetos;gerenciamento;topografia
BUREAU DE PROJETOS E CONSULTORIA LTDA,"RUA GIRASSOL, 1033, VILA MADALENA",SAO PAULO,SP,05433-002,11 3817-0200,,arquitetura;engenharia;estudos e projetos;geotecnia;gerenciamento;inspeção;planejamento;topografia
CAPPE BRASIL ENGENHARIA LTDA,"RUA AQUILES LOBO, 544, FLORESTA",BELO HORIZONTE,MG,30150-160,31 2551-8100,WWW.CAPPE.COM.BR,arquitetura;engenharia;estudos e projetos;geotecnia;inspeção;paisagismo;topografia
CASTRO ENGENHARIA S/S LTDA,"RUA FRANCISCO ALVES 325, SL 104 E 105",BL B PAISANDU – RECIFE,PE,50070-490,81 3221-9613,,engenharia;estudos e projetos
CASTRO MELLO ARQUITETOS LTDA,"RUA AMERICO BRASILIENSE, 1765, CJ 123 CH S ANTONIO",SAO PAULO,SP,04715-005,11 5181-1433,www.castromello.com.br,arquitetura
"CEC – CONSULTORIA, ENGENHARIA E CONTROLE LTDA","AV TANCREDO NEVES, EDF GARCIA D AVILA 1543, SAL A 204 CAMINHO DAS ARVORES",SALVADOR,BA,41820-021,71 3341-4129,,engenharia;estudos e projetos
CEPROL – CONSULTORIA E ENGENHARIA DE PROJETOS LTDA,"AV ALVARES CABRAL, 593, CJ 801/802 E 804 LOURDES",BELO HORIZONTE,MG,30170-912,31 3272-1822,www.ceprol.com.br,engenharia;estudos e projetos;gerenciamento;inspeção
CFA – CAMBIAGHI ARQUITETURA LTDA,"RUA DO ROCIO, 351, 2 AND CJ 21 VILA OLIMPIA",SAO PAULO,SP,04552-905,11 3040-4444,www.cambiaghi.com.br,arquitetura;estudos e projetos;gerenciamento;paisagismo;planejamento
CGP CONSULTORIA GERENCIAMENTO E PLANEJAMENTO LTDA,"AV BRASIL 248, SL 501 SANTA EFIGENIA",BELO HORIZONTE,MG,30140-001,31 3241-4043,,controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;inspeção;planejamento;topografia
CHROMA ENGENHARIA LTDA,"RUA APINAGES, 1100, CJ 109",1 AND PERDIZES – SAO PAULO,SP,05017-000,11 3875-1551,,engenharia;estudos e projetos;gerenciamento
CNEC WORLEYPARSONS ENGENHARIA SA,"AV ALFREDO E SOUZA ARANHA, 100, BL A 1 AO 4 AND VILA CRUZEIRO",SAO PAULO,SP,04726-170,11 5696-8101,www.cnec.com.br,arquitetura;controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;inspeção;paisagismo;planejamento;topografia
COBRAPE – CIA. BRAS. PROJ. E EMPREENDIMENTOS,"AV ANTONIO SALES, 1317, SL 13 E 14 JOAQUIM TAVORA",FORTALEZA,CE,60135-100,,WWW.COBRAPE.COM.BR,aerofotogrametria;arquitetura;controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;inspeção;paisagismo;planejamento
COBRAPE – CIA. BRAS. PROJ. E EMPREENDIMENTOS,SCN,"QUADRA 01 – ED BRASILIA TRADE CENTER – SL 10 , CENTER – BRASILIA",DF,70770-902,61 3326-3385,www.cobrape.com.br,arquitetura;engenharia;gerenciamento;topografia
COBRAPE – CIA. BRAS. PROJ. E EMPREENDIMENTOS,"RUA ALVARENGA PEIXOTO 295, 3 AND SL 301 VILA LOURDES",BELO HORIZONTE,MG,30180-120,31 2515-5903,WWW.COBRAPE.COM.BR,arquitetura;engenharia;gerenciamento;topografia
COBRAPE – CIA. BRAS. PROJ. E EMPREENDIMENTOS,"RUA FERNANDO CESAR, 258, ENCRUZILHADA",RECIFE,PE,52041-170,81 3355-5212,,aerofotogrametria;arquitetura;controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;inspeção;paisagismo;planejamento
COBRAPE – CIA. BRAS. PROJ. E EMPREENDIMENTOS,"RUA PREF ANGELO FERRARIO, 1560, ALTO DA XV",CURITIBA,PR,80040-252,41 3019-9291,WWW.COBRAPE.COM.BR,arquitetura;engenharia;gerenciamento;topografia
COBRAPE – CIA. BRAS. PROJ. E EMPREENDIMENTOS,"AV MARECHAL CAMARA, 160, 5 AND SL 1016 CENTRO",RIO DE JANEIRO,RJ,20020-080,21 2215-9386,,aerofotogrametria;arquitetura;controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;inspeção;paisagismo;planejamento
COBRAPE – CIA. BRAS. PROJ. E EMPREENDIMENTOS.,"RUA CAPITAO ANTONIO ROSA, 406, JD PAULISTANO",SAO PAULO,SP,01443-010,11 3897-8000,www.cobrape.com.br,engenharia;estudos e projetos;gerenciamento;planejamento
COBRAPI GERENCIAMENTO CONSULTORIA E PROJETOS LTDA,"RUA ELESBAO LINHARES, 188, PRAIA DO CANTO",VITORIA,ES,29055-340,27 3334-0331,WWW.COBRAPI.COM.BR,arquitetura;engenharia;estudos e projetos;gerenciamento;planejamento
COLMEIA ARQUITETURA E ENGENHARIA LTDA,"RUA DOM CARLOS CARLOS COELHO, 110, BELA VISTA",RECIFE,PE,50050-360,81 3423-1174,,arquitetura;controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;paisagismo;planejamento;topografia
COMPOR ENGENHARIA E AUTOMACAO LTDA,"RUA APRIGIO VELOSO, 785, SL 03 UNIVERSITARIO CAMPINA GRANDE",CAMPINA GRANDE,PB,58429-170,83 3058-2105,,arquitetura;engenharia;estudos e projetos;gerenciamento;paisagismo;planejamento
CONCREMAT – ENGENHARIA E TECNOLOGIA S/A,"AV SANTOS DUMONT 1789, SL 305 ALDEOTA",FORTALEZA,CE,60150-161,85 3208-6350,,engenharia;estudos e projetos;geotecnia;gerenciamento;planejamento
CONCREMAT – ENGENHARIA E TECNOLOGIA S/A,"ST SHS QD 06 412, CJ A BL A SALA CENTRO COMERCIAL BRASIL 21",BRASILIA,DF,70316-102,61 3964-7600,www.concremat.com.br,controles tecnológicos;engenharia;estudos e projetos;gerenciamento;inspeção;planejamento
CONCREMAT – ENGENHARIA E TECNOLOGIA S/A,"AV DAS NACOES UNIDAS, 13771, BL 1 5 AND VILA GERTRUDES",SAO PAULO,SP,04794-000,11 3862-9944,,arquitetura;engenharia;estudos e projetos;planejamento
CONCREMAT – ENGENHARIA E TECNOLOGIA S/A,"AV JOAO BAPTISTA PARRA, 673, SL 1001ED ENSEADA TOWER PRAIA DO SUA",VITORIA,ES,29052-123,27 3015-2255,www.concremat.com.br,arquitetura;engenharia;estudos e projetos;geotecnia;gerenciamento;planejamento;topografia
CONCREMAT – ENGENHARIA E TECNOLOGIA S/A,"AV JOAO PINHEIRO, 274, 2 AND LOURDES",BELO HORIZONTE,MG,30130-180,31 3116-4400,www.concremat.com.br,engenharia;estudos e projetos
CONCREMAT – ENGENHARIA E TECNOLOGIA S/A,"RUA CAPITAO JOSE DA LUZ, 58, SL 401 A 403 COELHOS",RECIFE,PE,50070-540,81 3423-4773,,aerofotogrametria;arquitetura;controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;inspeção;planejamento;topografia
CONCREMAT – ENGENHARIA E TECNOLOGIA S/A,"RUA EUCLIDES DA CUNHA 106, SAO CRISTOVAO",RIO DE JANEIRO,RJ,20940-060,21 3535-4000,,arquitetura;controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;inspeção;paisagismo;planejamento
CONCREMAT – ENGENHARIA E TECNOLOGIA S/A,"RUA FURRIEL LUIZ ANTONIO VARGAS, 380, CJ 202 VELA VISTA",PORTO ALEGRE,RS,90470-130,,,arquitetura;controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;planejamento;topografia
CONCREMAT – ENGENHARIA E TECNOLOGIA S/A,"AV ACM, 1034, SL 345 A ITAIGARA",SALVADOR,BA,41192-165,71 3351-0795,,arquitetura;engenharia;estudos e projetos;gerenciamento;planejamento
CONCRESOLO ENGENHARIA LTDA,"RUA FREDERICO ABRANCHES, 389, J 92 SANTA CECILIA",SAO PAULO,SP,01225-000,11 3222-8983,,controles tecnológicos;estudos e projetos;geotecnia;gerenciamento
CONCRESOLO ENGENHARIA LTDA,"RUA ANTONIO HENRIQUE DE NORONHA, 51 A, SAO CRISTOVAO",RIO DE JANEIRO,RJ,20910-000,21 3799-3333,WWW.CONCRESOLO.COM.BR,arquitetura;controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;paisagismo;planejamento;topografia
CONESTOGA-ROVERS E ASSOCIADOS ENGENHARIA LTDA,"RUA MARIA COELHO AGUIAR, 215, BL F",6 AND JD SAO LUIZ – SAO PAULO,SP,05805-000,11 3741-5117,www.craworld.com,engenharia;estudos e projetos;gerenciamento;planejamento
CONSOL – ENGENHEIROS CONSULTORES,"RUA HERMILIO ALVES 145, SANTA TERESA",BELO HORIZONTE,MG,31010-070,31 3271-3940,www.consol.eng.br,aerofotogrametria;controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;planejamento;topografia
CONSPEL – CONSULTORIA E PROJ DE ENG LTDA,"RUA SANTA HELENA, 613 LOTURUMÃ – PINHAIS TLEFONE (41) 36684576",,,83324220,,,engenharia;estudos e projetos;gerenciamento;planejamento
CONSULPLAN CONSULTORIA E PLANEJAMENTO LTDA,"AV ENG ALVES DE SOUZA, 709, CASA IMBIRIBEIRA",RECIFE,PE,51170-300,81 3035-2350,,arquitetura;estudos e projetos;geotecnia;gerenciamento;paisagismo;topografia
CONSULTRIX ENGENHEIROS ASSOCIADOS LTDA,"RUA PADRE GARCIA VELHO, 73, 7 AND PINHEIROS",SAO PAULO,SP,05421-030,11 3034-1188,,engenharia;estudos e projetos
CONTECNICA – CONSULTORIA E PLANEJAMENTO LTDA,"AV VISCONDE DE JEQUITINHONHA, 209, SL 605 BOA VIAGEM",RECIFE,PE,51021-190,81 3227-0961,,arquitetura;controles tecnológicos;estudos e projetos;geotecnia;gerenciamento;inspeção;paisagismo;planejamento;topografia
CONTECNICA – CONSULTORIA TECNICA LTDA,"AV FRANCISCO SALES 1420, 4 AND SANTA EFIGENIA",BELO HORIZONTE,MG,30150-221,31 3115-1960,,arquitetura;controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;inspeção;paisagismo;planejamento;topografia
CONTESTE ENGENHARIA E TECNOLOGIA LTDA,"RUA LUIZ ANTONIO PADRAO, 395, JD. BELA VISTA",OSASCO,SP,06080-120,11 3685-1512,www.conteste.com.br,engenharia
COPEM ENGENHARIA LTDA,"RUA FUNCHAL, 513, CJ 71/72/81 VILA OLIMPIA",SAO PAULO,SP,04551-060,11 3849-0298,www.copem.com.br,arquitetura;engenharia;estudos e projetos
COSMOS ENGENHARIA E PLANEJAMENTO LTDA,"EST DO COCO, KM 2, COMERCIAL PONTO VERDE, S/N, SL 21 CENTRO",LAURO DE FREITAS,BA,42700-000,71 3334-0399,WWW.COSMOSENGENHARIA.COM.BR,engenharia;estudos e projetos;gerenciamento;planejamento
CPS ENGENHARIA LTDA,"RUA FIDALGA, 563, CJ 32A VILA MADALENA",SAO PAULO,SP,05432-070,11 3034-3833,,estudos e projetos
CSL – CONSULTORIA DE ENGENHARIA ECONOMIA LTDA,"RUA TURFA, 951, PRADO",BELO HORIZONTE,MG,30411-200,31 3372-6001,,controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;planejamento
CSL – CONSULTORIA DE ENGENHARIA ECONOMIA LTDA,"AV LUIZ VIANA FILHO, 445, QUARTA AV CENTRO ADM DA BAHIA",SALVADOR,BA,41745-010,71 3115-2214,,engenharia;estudos e projetos;gerenciamento;planejamento
CTE – CENTRO TECNOLOGICO DE ENGENHARIA LTDA,"RUA 254, 146, SETOR COIMBRA",GOIANIA,GO,74535-440,62 3291-1100,www.cteengenharia.com.br,arquitetura;controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;inspeção;planejamento;topografia
CUNHA LAFERMANN ENGENHARIA LTDA,"ESTRADA DAS BAIAS, 158/ 11D – CASA FORTE – RECIFE 81-3265-7280",,,52061080,,,arquitetura;paisagismo
DALCON ENGENHARIA LTDA,"RUA PROF PEDRO VIRIATO P SOUZA, 2730, CASA MOSSUNGUE",CURITIBA,PR,81200-100,41 3016-7800,,arquitetura;engenharia;estudos e projetos;gerenciamento;paisagismo;planejamento
DBO ENGENHARIA LTDA,"RUA 25, 190, QUADRA A-11 LOTE 02 E 03 JARDIM GOIAS  DBOENGENHARIA@.BR",GOIANIA,GO,74805-280,62 3281-6655,DBOENGENHARIA.COM,engenharia;estudos e projetos;gerenciamento;planejamento
DEBIAGI ARQUITETOS URBANISTAS SS LTDA,"RUA BORORO 669, VILA ASSUNCAO",PORTO ALEGRE,RS,91900-540,51 3268-2320,,arquitetura;estudos e projetos;paisagismo;planejamento
DELETROS ARQ ENG E MEIO AMBIENTE LTDA,"RUA MARQUES DE ITU, 408, CJ 16 VILA BUARQUE",SAO PAULO,SP,01223-000,11 3287-0452,WWW.DELETROS.COM.BR,arquitetura;engenharia;estudos e projetos;gerenciamento;paisagismo;planejamento
DESIGNIO ARQUITETURA E URBANISMO LTDA,"RUA TEIXEIRA DA SILVA, 660, 1 AND CJ 12 JPARAISO",SAO PAULO,SP,04002-033,11 3887-6097,WWW.DESIGNIO-ARQ.COM.BR,arquitetura;paisagismo
DIEFRA ENGENHARIA E CONSULTORIA LTDA,"RODOANEL CELSO MELLO AZEVEDO, 1000, KM 01 OLHOS DAGUA",BELO HORIZONTE,MG,30390-085,31 3319-6600,,controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;planejamento;topografia
DIRECAO CONSULTORIA E ENGENHARIA LTDA,"AV DO CONTORNO, 9636, 6 E 7 ANDS BARRO PRETO  DIRECAO@.BR",BELO HORIZONTE,MG,30110-068,31 3298-6900,DIRECAO.COM,engenharia;estudos e projetos
DIRECAO CONSULTORIA E ENGENHARIA LTDA,"RUA COLOMBO, 1122, CENTRO",MARECHAL CANDIDO RONDON,PR,85960-000,45 3254-9585,,engenharia;estudos e projetos
DMAPAS BRASIL LTDA,RUA ITATUBA  .br,"ED COSMOPOLITAN MIX 201, SL 801/802 PARQUE BELA VISTA – SALVADOR",BA,40279-700,71 3358-1071,dmapasbrasil.com,arquitetura;engenharia;estudos e projetos
DTA ENGENHARIA LTDA,"RUA JERONIMO DA VEIGA, 45, 16 AND CJ 161 JD EUROPA  dta@.br",SAO PAULO,SP,04536-000,11 3167-1909,dtaengenharia.com,engenharia;estudos e projetos;gerenciamento;planejamento;topografia
DUCTOR IMPLANTACAO DE PROJETOS LTDA,"AV QUEIROZ FILHO, 767, CITY BOACAVA",SAO PAULO,SP,05319-000,11 3837-4800,www.ductor.com.br,engenharia;estudos e projetos;gerenciamento;inspeção;planejamento
DUPRE ARQUITETURA & COORDENACAO SS LTDA,"RUA SIMAO ALVARES 356, CJ 102 PINHEIROS",SAO PAULO,SP,05417-020,11 3088-7922,www.duprearquitetura.com.br,arquitetura;estudos e projetos;planejamento
DW ENGENHARIA SOCIEDADE SIMPLES LTDA – ME,"RUA ANTONIO PARREIRAS, 300, 302 BELA VISTA",PORTO ALEGRE,RS,90450-050,51 9820-7406,,estudos e projetos
ECLA ENGENHEIROS CONSULTORES LTDA,"RUA HELIO DE OLIVEIRA, 255, CASA MATATU",SALVADOR,BA,40265-020,71 3244-6133,,controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;inspeção;paisagismo;planejamento;topografia
ECM S/A – PROJETOS INDUSTRIAIS,"RUA RIO DE JANEIRO 1462, LOURDES",BELO HORIZONTE,MG,30160-041,31 3238-6993,,engenharia;estudos e projetos
ECO URBE CONSULTORIA E PROJETOS SC LTDA,"RUA COMENDADOR MIGUEL CALFAT, 128, CJ 501 VILA OLIMPIA",SAO PAULO,SP,04537-080,11 3841-9601,,arquitetura;estudos e projetos;gerenciamento;paisagismo;planejamento
ECOLOGY AND ENVIRONMENT DO BRASIL LTDA,"RUA DA ASSEMBLEIA 100, 6 ANDAR CENTRO",RIO DE JANEIRO,RJ,20011-000,21 2108-8700,www.ecologybrasil.com.br,arquitetura;controles tecnológicos;engenharia;estudos e projetos
ECOPLAN – ENGENHARIA LTDA,"RUA DAS PERNAMBUCANAS, 282, SL 306 GRACAS",RECIFE,PE,52011-010,81 3222-3806,,engenharia;estudos e projetos;gerenciamento;planejamento
ECR ENGENHARIA LTDA,"RUA LISBOA, 80, ARACAS",VILA VELHA,ES,29103-065,27 3222-7987,,arquitetura;engenharia;estudos e projetos;gerenciamento;planejamento
ECR ENGENHARIA LTDA,"RUA MARQUÊS DE ITU, 61",10º ANDAR VILA BUARQUE – SÃO PAULO,SP,01223-001,11 3138-4949,www.ecrengenharia.com.br,arquitetura;engenharia;estudos e projetos;gerenciamento;planejamento
EDO ROCHA ARQUITETURA E PLANEJAMENTO SC LTDA,"RUA DA ALFANDEGA, 115, CENTRO",SAO PAULO,SP,04578-000,11 5505-1255,www.edorocha.com.br,arquitetura;estudos e projetos;gerenciamento;planejamento
EGIS ENGENHARIA E CONSULTORIA,"Rua Catequese, 78 – Butantã São Paulo – São Paulo / 11 2134-7575",,,05502-020,11 2134-7577,www.egis-brasil.com.br,arquitetura;controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;inspeção;paisagismo;planejamento;topografia
EGIS ENGENHARIA E CONSULTORIA,"RUA PASSADENA 89, PQ IND SAO JOSE",COTIA,SP,06715-864,11 2134-7577,www.egis-brasil.com.br,arquitetura;controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento
EGIS ENGENHARIA E CONSULTORIA,"Avenida dos Engenheiros, 802 – Castelo Belo Horizonte – MG",,,30840-300,31 2526-3637,www.egis-brasil.com.br,arquitetura;controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;inspeção;paisagismo;planejamento;topografia
EGIS ENGENHARIA E CONSULTORIA,"RUA PADRE ANCHIETA 177, MERCES",CURITIBA,PR,80410-030,41 3221-5000,www.egis-brasil.com.br,engenharia;estudos e projetos;geotecnia;gerenciamento;topografia
EGT ENGENHARIA LTDA,"RUA FABIA, 442, 1 AND VILA ROMANA",SAO PAULO,SP,05051-030,11 3862-1236,,engenharia;estudos e projetos;inspeção
EICOMNOR ENG IMP COMERCIO DO NORDESTE LTDA,"RUA ALEMANHA, 144, IMBIRIBEIRA",RECIFE,PE,51180-010,85 3339-3413,www.eicomnor.com.br,engenharia;estudos e projetos;gerenciamento
ELETRONORD ENGENHARIA & SERVICOS LTDA,"ESTRADA DO BONGI. 919, BONGI",RECIFE,PE,50830-260,81 3236-4516,,engenharia;estudos e projetos;gerenciamento
EMPRESA BRASILEIRA DE ENGENHARIA DE INFRAESTRUTURA,"RUA SANTO ANTONIO, 184, 20 AND BELA VISTA",SAO PAULO,SP,01314-000,11 3292-8922,,arquitetura;engenharia;estudos e projetos;geotecnia;gerenciamento;inspeção;paisagismo;planejamento
EMPRESA BRASILEIRA DE ENGENHARIA TECNOLOGIA LTDA,"ALAMEDA RIO NEGRO, 585, CJ 58",ED JACARI ALPHAVILLE – BARUERI,SP,06454-000,11 4208-7641,,controles tecnológicos;engenharia;estudos e projetos;gerenciamento
ENCIBRA S.A. ESTUDOS E PROJETOS DE ENGENHARIA,"Av. das Nações Unidas 13.797, Bloco 3, 17º andar Vila Gertudres  4794-000 (11) 5501-1622 planejamento@.br",São Paulo,SP,,,encibra.com,engenharia;estudos e projetos;gerenciamento;planejamento
ENCIBRA S.A. ESTUDOS E PROJETOS DE ENGENHARIA,"AV MARECHAL CAMARA, 160, SL 1225 CENTRO",RIO DE JANEIRO,RJ,20020-080,21 3553-3842,,engenharia;estudos e projetos;gerenciamento;planejamento
ENCOP ENGENHARIA LTDA,"AV CEL APARICIO BORGES 965, SL 302 GLORIA",PORTO ALEGRE,RS,90680-570,51 3028-4799,WWW.ENCOP.COM,controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;planejamento;topografia
ENECON SA – ENGENHEIROS E ECONOMISTAS CONSULTORES,"RUA MARTIM DE CARVALHO, 549, SANTO AGOSTINHO",BELO HORIZONTE,MG,30190-090,31 3292-5388,,controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;planejamento;topografia
ENECON SA – ENGENHEIROS E ECONOMISTAS CONSULTORES,"AV ATAULFO DE PAIVA 135, SLS 705/706 LEBLON",RIO DE JANEIRO,RJ,22440-901,21 2294-8232,,engenharia;estudos e projetos;gerenciamento
ENECON SA – ENGENHEIROS E ECONOMISTAS CONSULTORES,"AV IPIRANGA, 6929, PARTENON",PORTO ALEGRE,RS,91530-001,51 3336-5288,,aerofotogrametria;controles tecnológicos;estudos e projetos;geotecnia;gerenciamento;planejamento;topografia
"ENEFER CONSULTORIA, PROJETOS LTDA","RUA XV DE NOVEMBRO, 1234","CJ 1104 , CENTRO – CURITIBA",PR,80060-000,41 3363-2839,www.enefer.com.br,engenharia;estudos e projetos
ENESCIL ENGENHARIA DE PROJETOS LTDA,"RUA ALVES GUIMARAES 507, CJ A JARDIM AMERICA",SAO PAULO,SP,05410-000,11 3061-0055,,engenharia
ENGEBANC ENGENHARIA E SERVICOS LTDA.,"AV ELIAS YASBEK, 1006, CJ 11 TINGIDOR",EMBU,SP,06803-000,11 3039-3588,,arquitetura;engenharia;estudos e projetos;gerenciamento
ENGEBIO ENGENHARIA E MEIO AMBIENTE LTDA,"RUA JOAO ABBOTT 482, PETROPOLIS",PORTO ALEGRE,RS,90460-150,51 3333-6005,www.engebio.net,engenharia;estudos e projetos;gerenciamento
ENGECONSULT – CONSULTORES TECNICOS LTDA,"RUA XAVIER MARQUES 94, SL 01 AFLITOS",RECIFE,PE,52050-230,81 3194-4800,,engenharia;estudos e projetos;gerenciamento;planejamento
ENGECORPS ENGENHARIA SA,"ALAMEDA TOCANTINS, 125, 4 AND ALPHAVILLE",SAO PAULO,SP,06455-020,11 2135-5252,www.engecorps.com.br,arquitetura;engenharia;estudos e projetos;geotecnia;gerenciamento;planejamento
ENGEDAL DESENHOS TECNICOS LTDA – EPP,"RUA GIOVANNI GIUSTI, 70, VILA SUZI",SAO BERNARDO DO CAMPO,SP,09715-200,11 4128-9026,,estudos e projetos
ENGEDATA – ENGENHARIA ESTRUTURAL LTDA,"RUA CAIO PEREIRA 331, ROSARINHO",RECIFE,PE,52041-010,81 3241-8200,,engenharia;estudos e projetos;gerenciamento;planejamento
ENGEFOTO ENGENHARIA E AEROLEVANTAMENTOS SA,"RUA FREI FRANCISCO MONT ALVERNE, 750, CASA JARDIM DAS AMERICAS",CURITIBA,PR,81540-410,41 3071-4200,WWW.ENGEFOTO.COM,aerofotogrametria;arquitetura;engenharia;estudos e projetos;geotecnia;paisagismo;planejamento;topografia
ENGEMASTER ENGENHARIA E PROJETOS LTDA,"RUA ITAJUBA 1111, SAGRADA FAMILIA",BELO HORIZONTE,MG,31030-430,31 3482-7088,,controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;topografia
ENGEMIN – ENGENHARIA E GEOLOGIA LTDA,"RUA ROSA MACARINI, 557, VL. EMILIANO PERNETA",PINHAIS,PR,83324-420,41 3668-1614,,engenharia;estudos e projetos;geotecnia;gerenciamento;planejamento;topografia
ENGEPAVI CONSULTORIA E PROJ DE ENGENHARIA,"RUA COMISSARIO OTAVIO DE QUEIROZ 90, JD DA PENHA",VITORIA,ES,29060-270,27 3227-7765,,engenharia;estudos e projetos
ENGEPLUS ENGENHARIA E CONSULTORIA LTDA,"AV FRANCA 817, NAVEGANTES",PORTO ALEGRE,RS,90230-220,51 3325-1508,www.pluseng.com.br,controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;planejamento;topografia
ENGEPROL ENGENHARIA PROJETOS E PLANEJAMENTO LTDA,"RUA VALDOMIRO RODRIGUES 3, COMERCIAL SL 05 SEDE",LAURO DE FREITAS,BA,42700-000,71 3103-2300,,engenharia;estudos e projetos
ENGESOFT – ENGENHARIA E CONSULTORIA LTDA,"AV WASHINGTON SOARES 855, 11 AND EDSON QUEIROZ",EUSEBIO,CE,60811-341,85 3133-4900,,engenharia;estudos e projetos
ENGESOLO ENGENHARIA LTDA,"AV NOSSA SRA DA PENHA 714, SL 718,719 PRAIA DO CANTO",VITORIA,ES,29055-131,27 3026-3301,,aerofotogrametria;arquitetura;controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;inspeção;paisagismo;planejamento;topografia
ENGESOLO ENGENHARIA LTDA,"RUA ALCOBACA 1210, SAO FRANCISCO",BELO HORIZONTE,MG,31255-210,31 2103-4300,,aerofotogrametria;arquitetura;controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;inspeção;paisagismo;planejamento;topografia
ENGESP – ENGENHARIA ESTUDOS E PROJETOS LTDA,"AV T-02 1281, ED PROF LUIZ A DO CARMO CURAD SETOR BUENO",GOIANIA,GO,74215-010,62 2285-1955,,engenharia;estudos e projetos;planejamento
ENGESPRO ENGENHARIA LTDA,"RUA TEOFILO OTONI, 82, PAV 13 CENTRO",RIO DE JANEIRO,RJ,20090-080,21 2263-7659,,controles tecnológicos;engenharia;estudos e projetos;geotecnia;gerenciamento;topografia
ENGESUR CONSULTORIA E ESTUDOS TECNICOS LTDA,"RUA GAL CANABARRO, 784, MARACANA",RIO DE JANEIRO,RJ,20271-205,21 3478-4790,WWW.ENGESUR.COM.BR,arquitetura;engenharia;estudos e projetos;gerenciamento;topografia
ENGETI CONSULTORIA E ENGENHARIA SS LTDA,"AV ANGELICA, 1996, CJ 404/405/406 CONSOLACAO",SAO PAULO,SP,01228-200,11 3666-9289,,engenharia;estudos e projetos
ENGETOP PLANEJAMENTOS E PROJETOS LTDA,"RUA J , QUADRA 45, LOTE 05 MANOEL PLAZA",SERRA,ES,29160-156,27 3317-5745,,engenharia;estudos e projetos;planejamento
ENGEVIX ENGENHARIA S A,"RUA TENENTE SILVEIRA, 94, 7 AND CENTRO",FLORIANOPOLIS,SC,88010-300,48 2107-0302,,arquitetura;engenharia;estudos e projetos;gerenciamento;planejamento
ENGEVIX ENGENHARIA S A,"SETOR COMERCIAL NORTE, Q 4","BL B, 100, SL 1301 C. EMP. VARIG – BRASILIA",DF,70714-000,61 2328-4849,,engenharia;estudos e projetos;gerenciamento;planejamento
ENGEVIX ENGENHARIA S A,"AV JOSE MARIA VIVACQUA SANTOS 600, LJ 02 JD CAMBURI",VITORIA,ES,29090-160,27 3329-0270,,arquitetura;engenharia;estudos e projetos;geotecnia;gerenciamento;inspeção;paisagismo;planejamento;topografia
ENGEVIX ENGENHARIA S A,"ALAMEDA ARAGUAIA, 3571, ALPHAVILLE",BARUERI,SP,06455-000,11 2106-0100,www.engevix.com.br,arquitetura;engenharia;estudos e projetos;geotecnia;gerenciamento;inspeção;paisagismo;planejamento;topografia
ENGEVIX ENGENHARIA S A,"RUA XV DE NOVEMBRO, 1456, CENTRO",CURITIBA,PR,80060-000,41 3326-7516,,aerofotogrametria;arquitetura;engenharia;estudos e projetos;gerenciamento;planejamento
